id,family
1692,3174
1693,2709
1694,2538
1695,3301
1696,1523
1700,1595
1701,2072
1702,5983
1703,401
1705,4102
1706,3962
1707,3128
1708,3762
1709,835
1710,3710
1711,2426
1712,560
1713,2809
1714,2610
1715,5626
1717,539
1719,1407
1720,5012
1721,5585
1723,1210
1724,2369
1727,2620
1728,669
1729,3054
1730,3626
1731,1710
1733,1717
1734,705
1736,5674
1737,3318
1739,5259
1740,4568
1741,3271
1742,5207
1743,4155
1744,1935
1745,3481
1748,2318
1750,1210
1751,2613
1752,3216
1754,237
1756,4499
1757,5180
1758,689
1759,4775
1760,4340
1762,6063
1763,2166
1764,5892
1767,770
1768,1210
1769,4268
1770,5507
1773,3893
1774,4912
1775,2487
1776,2808
1777,4833
1778,1974
1779,5309
1780,1648
1781,4260
1782,635
1783,5004
1784,6230
1786,4
1787,1941
1788,5441
1789,654
1792,5960
1793,1657
1794,6053
1798,1375
1800,725
1803,5288
1804,1252
1805,73
1806,4443
1807,237
1808,3784
1809,4692
1810,22
1811,4035
1812,1210
1813,5593
1816,4082
1819,3421
1820,2710
1822,5773
1823,1467
1824,6062
1825,6265
1826,4182
1827,4952
1828,4181
1829,283
1831,5040
1832,3081
1834,3289
1836,3084
1839,6287
1840,2416
1841,4521
1842,569
1843,173
1845,5396
1846,2277
1848,798
1849,2077
1850,5873
1852,2416
1853,2014
1854,5448
1855,260
1857,2642
1858,4646
1859,3263
1860,3309
1861,3604
1862,1240
1864,4068
1866,5873
1867,5659
1871,3191
1872,5381
1873,2410
1875,3029
1877,268
1879,2395
1880,2542
1881,176
1882,2489
1883,621
1884,4367
1886,4903
1887,1340
1888,2095
1889,4952
1890,3201
1891,1085
1892,4946
1893,2021
1894,5193
1895,5286
1896,6281
1898,1822
1901,2968
1903,5235
1904,162
1905,4568
1906,5381
1907,410
1909,5633
1910,3357
1911,1950
1912,3744
1913,4646
1917,4697
1918,4208
1919,5377
1924,4939
1925,4796
1926,2629
1928,200
1929,6150
1931,219
1932,2376
1933,730
1934,5270
1935,2668
1936,107
1938,5772
1939,733
1942,4730
1943,2095
1945,6233
1947,2067
1948,5341
1949,2277
1950,801
1951,2804
1952,5873
1954,4396
1956,680
1957,1205
1958,2277
1959,696
1961,412
1962,684
1963,4186
1964,3452
1967,4646
1968,59
1969,5453
1970,3744
1971,5916
1972,878
1976,3201
1977,2107
1979,6026
1980,3273
1981,5556
1982,5664
1984,1594
1986,5843
1987,3681
1988,3323
1989,5236
1990,4285
1991,4386
1993,5184
1997,3612
1999,2155
2000,2479
2004,2550
2006,6130
2007,2285
2008,2052
2009,5519
2010,1281
2011,2095
2012,3756
2014,4952
2018,4772
2020,4697
2022,6362
2023,4680
2024,1249
2025,5861
2026,816
2027,6157
2028,1006
